PARADA;PARTIDA;LINHA;DESTINO
2;04:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;04:40;L003/10;VILA RICA
5;04:40;L002/10;METRÔ SANTANA
6;04:40;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;04:42;L004/10;UBS LADEIRA ROSA (CIRCULAR)
3;04:45;L005/10;TERM. CACHOEIRINHA
6;04:45;L007/42;GENEVE
4;04:47;L006/10;UBS LADEIRA ROSA (EXPRESSO)
7;04:52;L010/10;JARDIM CECY
8;05:00;L29P/10;TERMINAL PINHEIROS
2;05:02;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;05:03;L005/10;TERM. CACHOEIRINHA
6;05:04;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;05:06;L004/10;UBS LADEIRA ROSA (CIRCULAR)
7;05:12;L010/10;JARDIM CECY
6;05:13;L007/42;GENEVE
3;05:20;L003/10;VILA RICA
2;05:24;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;05:25;L008/42;JARDIM CENTENÁRIO (CIRC.)
5;05:27;L002/10;METRÔ SANTANA
6;05:28;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;05:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
7;05:32;L010/10;JARDIM CECY
4;05:37;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;05:41;L007/42;GENEVE
3;05:45;L005/10;TERM. CACHOEIRINHA
2;05:46;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;05:47;L008/42;JARDIM CENTENÁRIO (CIRC.)
7;05:52;L010/10;JARDIM CECY
6;05:52;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;05:54;L004/10;UBS LADEIRA ROSA (CIRCULAR)
3;06:00;L003/10;VILA RICA
3;06:07;L005/10;TERM. CACHOEIRINHA
2;06:08;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;06:09;L008/42;JARDIM CENTENÁRIO (CIRC.)
6;06:09;L007/42;GENEVE
7;06:12;L010/10;JARDIM CECY
5;06:15;L002/10;METRÔ SANTANA
6;06:16;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;06:18;L004/10;UBS LADEIRA ROSA (CIRCULAR)
4;06:27;L006/10;UBS LADEIRA ROSA (EXPRESSO)
2;06:30;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;06:31;L008/42;JARDIM CENTENÁRIO (CIRC.)
7;06:32;L010/10;JARDIM CECY
1;06:32;L007/10;LAUZANE PAULISTA
1;06:35;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;06:37;L007/42;GENEVE
3;06:40;L003/10;VILA RICA
6;06:40;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;06:42;L004/10;UBS LADEIRA ROSA (CIRCULAR)
3;06:43;L005/10;TERM. CACHOEIRINHA
1;06:48;L007/10;LAUZANE PAULISTA
2;06:52;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
7;06:52;L010/10;JARDIM CECY
5;06:53;L008/42;JARDIM CENTENÁRIO (CIRC.)
5;07:02;L002/10;METRÔ SANTANA
1;07:04;L007/10;LAUZANE PAULISTA
6;07:04;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;07:05;L007/42;GENEVE
3;07:05;L005/10;TERM. CACHOEIRINHA
4;07:06;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;07:07;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
7;07:12;L010/10;JARDIM CECY
2;07:14;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;07:15;L008/42;JARDIM CENTENÁRIO (CIRC.)
4;07:17;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;07:20;L007/10;LAUZANE PAULISTA
3;07:20;L003/10;VILA RICA
1;07:23;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;07:28;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;07:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
7;07:32;L010/10;JARDIM CECY
6;07:33;L007/42;GENEVE
1;07:36;L007/10;LAUZANE PAULISTA
5;07:37;L008/42;JARDIM CENTENÁRIO (CIRC.)
2;07:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;07:45;L005/10;TERM. CACHOEIRINHA
5;07:50;L002/10;METRÔ SANTANA
1;07:52;L007/10;LAUZANE PAULISTA
7;07:52;L010/10;JARDIM CECY
6;07:52;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;07:54;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;07:55;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
