PARADA;PARTIDA;LINHA;DESTINO
5;04:40;L002/10;METRÔ SANTANA
3;04:40;L003/10;VILA RICA
1;04:40;L007/10;LAUZANE PAULISTA
6;04:40;L009/10;ISOLINA MAZZEI (VIA HORTO)
2;04:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;04:42;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;04:43;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
3;04:45;L005/10;TERM. CACHOEIRINHA
6;04:45;L007/42;GENEVE
4;04:47;L006/10;UBS LADEIRA ROSA (EXPRESSO)
7;04:52;L010/10;JARDIM CECY
8;05:00;L29P/10;TERMINAL PINHEIROS
1;05:02;L007/10;LAUZANE PAULISTA
4;05:14;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;05:14;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;05:24;L007/10;LAUZANE PAULISTA
7;05:28;L010/10;JARDIM CECY
6;05:35;L007/42;GENEVE
3;05:40;L003/10;VILA RICA
2;05:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;05:42;L002/10;METRÔ SANTANA
3;05:45;L005/10;TERM. CACHOEIRINHA
4;05:46;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;05:46;L007/10;LAUZANE PAULISTA
6;05:48;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;05:53;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;05:55;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
7;06:04;L010/10;JARDIM CECY
1;06:08;L007/10;LAUZANE PAULISTA
4;06:18;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;06:22;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;06:22;L010/10;JARDIM CECY
6;06:25;L007/42;GENEVE
1;06:30;L007/10;LAUZANE PAULISTA
1;06:31;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
3;06:40;L003/10;VILA RICA
2;06:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
5;06:44;L002/10;METRÔ SANTANA
3;06:45;L005/10;TERM. CACHOEIRINHA
4;06:50;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;06:52;L007/10;LAUZANE PAULISTA
6;06:56;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;06:58;L010/10;JARDIM CECY
4;06:59;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;07:14;L007/10;LAUZANE PAULISTA
6;07:15;L007/42;GENEVE
4;07:22;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;07:30;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;07:34;L010/10;JARDIM CECY
1;07:36;L007/10;LAUZANE PAULISTA
2;07:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;07:40;L003/10;VILA RICA
1;07:43;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
3;07:45;L005/10;TERM. CACHOEIRINHA
5;07:46;L002/10;METRÔ SANTANA
7;07:52;L010/10;JARDIM CECY
4;07:54;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;07:58;L007/10;LAUZANE PAULISTA
6;08:04;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;08:05;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;08:05;L007/42;GENEVE
1;08:19;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
1;08:20;L007/10;LAUZANE PAULISTA
8;08:24;L29P/10;TERMINAL PINHEIROS
4;08:26;L004/10;UBS LADEIRA ROSA (CIRCULAR)
7;08:28;L010/10;JARDIM CECY
6;08:38;L009/10;ISOLINA MAZZEI (VIA HORTO)
2;08:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;08:40;L003/10;VILA RICA
1;08:42;L007/10;LAUZANE PAULISTA
3;08:45;L005/10;TERM. CACHOEIRINHA
5;08:48;L002/10;METRÔ SANTANA
4;08:58;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;09:00;L007/42;GENEVE
1;09:04;L007/10;LAUZANE PAULISTA
7;09:04;L010/10;JARDIM CECY
4;09:11;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;09:12;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;09:22;L010/10;JARDIM CECY
1;09:26;L007/10;LAUZANE PAULISTA
4;09:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;09:31;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
2;09:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;09:45;L005/10;TERM. CACHOEIRINHA
5;09:50;L002/10;METRÔ SANTANA
3;09:50;L003/10;VILA RICA
1;09:56;L007/10;LAUZANE PAULISTA
6;09:58;L007/42;GENEVE
6;09:59;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;10:08;L010/10;JARDIM CECY
1;10:26;L007/10;LAUZANE PAULISTA
4;10:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;10:31;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
2;10:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;10:43;L006/10;UBS LADEIRA ROSA (EXPRESSO)
3;10:45;L005/10;TERM. CACHOEIRINHA
7;10:54;L010/10;JARDIM CECY
1;10:56;L007/10;LAUZANE PAULISTA
6;10:59;L009/10;ISOLINA MAZZEI (VIA HORTO)
5;11:00;L002/10;METRÔ SANTANA
3;11:10;L003/10;VILA RICA
6;11:14;L007/42;GENEVE
7;11:17;L010/10;JARDIM CECY
1;11:26;L007/10;LAUZANE PAULISTA
4;11:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
2;11:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;11:45;L005/10;TERM. CACHOEIRINHA
8;11:48;L29P/10;TERMINAL PINHEIROS
1;11:56;L007/10;LAUZANE PAULISTA
6;11:59;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;12:03;L010/10;JARDIM CECY
5;12:10;L002/10;METRÔ SANTANA
4;12:15;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;12:26;L007/10;LAUZANE PAULISTA
3;12:30;L003/10;VILA RICA
6;12:30;L007/42;GENEVE
4;12:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;12:31;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
2;12:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;12:45;L005/10;TERM. CACHOEIRINHA
7;12:49;L010/10;JARDIM CECY
1;12:56;L007/10;LAUZANE PAULISTA
6;12:59;L009/10;ISOLINA MAZZEI (VIA HORTO)
7;13:12;L010/10;JARDIM CECY
5;13:20;L002/10;METRÔ SANTANA
1;13:26;L007/10;LAUZANE PAULISTA
4;13:30;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;13:31;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
2;13:40;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;13:45;L005/10;TERM. CACHOEIRINHA
6;13:46;L007/42;GENEVE
